customer_id,credit_score,country,gender,age,tenure,balance,products_number,credit_card,active_member,estimated_salary,churn
15634602.0,619.0,France,Female,42.0,2.0,0.0,1.0,1.0,1.0,101348.88,1.0
15647311.0,608.0,Spain,Female,41.0,1.0,83807.86,1.0,0.0,1.0,112542.58,0.0
15619304.0,502.0,France,Female,42.0,8.0,159660.8,3.0,1.0,0.0,113931.57,1.0
15701354.0,699.0,France,Female,39.0,1.0,0.0,2.0,0.0,0.0,93826.63,0.0
15737888.0,850.0,Spain,Female,43.0,2.0,125510.82,1.0,1.0,1.0,79084.1,0.0
15574012.0,645.0,Spain,Male,44.0,8.0,113755.78,2.0,1.0,0.0,149756.71,1.0
15592531.0,822.0,France,Male,50.0,7.0,0.0,2.0,1.0,1.0,10062.8,0.0
15656148.0,376.0,Germany,Female,29.0,4.0,115046.74,4.0,1.0,0.0,119346.88,1.0
15792365.0,501.0,France,Male,44.0,4.0,142051.07,2.0,0.0,1.0,74940.5,0.0
15592389.0,684.0,France,Male,27.0,2.0,134603.88,1.0,1.0,1.0,71725.73,0.0
15767821.0,528.0,France,Male,31.0,6.0,102016.72,2.0,0.0,0.0,80181.12,0.0
15737173.0,497.0,Spain,Male,24.0,3.0,0.0,2.0,1.0,0.0,76390.01,0.0
15632264.0,476.0,France,Female,34.0,10.0,0.0,2.0,1.0,0.0,26260.98,0.0
15691483.0,549.0,France,Female,25.0,5.0,0.0,2.0,0.0,0.0,190857.79,0.0
15600882.0,635.0,Spain,Female,35.0,7.0,0.0,2.0,1.0,1.0,65951.65,0.0
15643966.0,616.0,Germany,Male,45.0,3.0,143129.41,2.0,0.0,1.0,64327.26,0.0
15737452.0,653.0,Germany,Male,58.0,1.0,132602.88,1.0,1.0,0.0,5097.67,1.0
15788218.0,549.0,Spain,Female,24.0,9.0,0.0,2.0,1.0,1.0,14406.41,0.0
15661507.0,587.0,Spain,Male,45.0,6.0,0.0,1.0,0.0,0.0,158684.81,0.0
15568982.0,726.0,France,Female,24.0,6.0,0.0,2.0,1.0,1.0,54724.03,0.0
15577657.0,732.0,France,Male,41.0,8.0,0.0,2.0,1.0,1.0,170886.17,0.0
15597945.0,636.0,Spain,Female,32.0,8.0,0.0,2.0,1.0,0.0,138555.46,0.0
15699309.0,510.0,Spain,Female,38.0,4.0,0.0,1.0,1.0,0.0,118913.53,1.0
15725737.0,669.0,France,Male,46.0,3.0,0.0,2.0,0.0,1.0,8487.75,0.0
15625047.0,846.0,France,Female,38.0,5.0,0.0,1.0,1.0,1.0,187616.16,0.0
15738191.0,577.0,France,Male,25.0,3.0,0.0,2.0,0.0,1.0,124508.29,0.0
15736816.0,756.0,Germany,Male,36.0,2.0,136815.64,1.0,1.0,1.0,170041.95,0.0
15700772.0,571.0,France,Male,44.0,9.0,0.0,2.0,0.0,0.0,38433.35,0.0
15728693.0,574.0,Germany,Female,43.0,3.0,141349.43,1.0,1.0,1.0,100187.43,0.0
15656300.0,411.0,France,Male,29.0,0.0,59697.17,2.0,1.0,1.0,53483.21,0.0
15589475.0,591.0,Spain,Female,39.0,3.0,0.0,3.0,1.0,0.0,140469.38,1.0
15706552.0,533.0,France,Male,36.0,7.0,85311.7,1.0,0.0,1.0,156731.91,0.0
15750181.0,553.0,Germany,Male,41.0,9.0,110112.54,2.0,0.0,0.0,81898.81,0.0
15659428.0,520.0,Spain,Female,42.0,6.0,0.0,2.0,1.0,1.0,34410.55,0.0
15732963.0,722.0,Spain,Female,29.0,9.0,0.0,2.0,1.0,1.0,142033.07,0.0
15794171.0,475.0,France,Female,45.0,0.0,134264.04,1.0,1.0,0.0,27822.99,1.0
15788448.0,490.0,Spain,Male,31.0,3.0,145260.23,1.0,,1.0,114066.77,0.0
15729599.0,804.0,Spain,Male,33.0,7.0,76548.6,1.0,0.0,1.0,98453.45,0.0
15717426.0,850.0,France,Male,36.0,7.0,0.0,1.0,1.0,1.0,40812.9,0.0
15585768.0,582.0,Germany,Male,41.0,6.0,70349.48,2.0,0.0,1.0,178074.04,0.0
15619360.0,472.0,Spain,Male,40.0,4.0,0.0,1.0,1.0,0.0,70154.22,0.0
15738148.0,465.0,France,Female,51.0,8.0,122522.32,1.0,0.0,0.0,181297.65,1.0
15687946.0,556.0,France,Female,61.0,2.0,117419.35,1.0,1.0,1.0,94153.83,0.0
15755196.0,834.0,France,Female,49.0,2.0,131394.56,1.0,0.0,0.0,194365.76,1.0
15684171.0,660.0,Spain,Female,61.0,5.0,155931.11,1.0,1.0,1.0,158338.39,0.0
15754849.0,776.0,Germany,Female,32.0,4.0,109421.13,2.0,1.0,1.0,126517.46,0.0
15602280.0,829.0,Germany,Female,27.0,9.0,112045.67,1.0,1.0,1.0,119708.21,1.0
15771573.0,637.0,Germany,Female,39.0,9.0,137843.8,1.0,1.0,1.0,117622.8,
15766205.0,550.0,Germany,Male,38.0,2.0,103391.38,1.0,0.0,1.0,90878.13,0.0
15771873.0,776.0,Germany,Female,37.0,2.0,103769.22,2.0,1.0,0.0,194099.12,0.0
